"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","outcome","treated"
"1","0","0","1","0","0","1","0","0","0","1","0","1","1","1","1","1","1","1","0",20.0629909454207,1
"0","1","0","1","1","1","0","1","1","0","0","0","0","0","0","0","0","1","1","1",-9.88529174709576,0
"1","1","1","0","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1",8.95949028525768,0
"1","1","1","0","1","0","1","0","1","0","0","1","1","1","1","1","1","1","1","0",8.07053906153136,0
"0","0","1","0","0","1","1","1","1","1","0","0","1","1","0","1","1","1","1","1",8.66000806324426,1
"1","0","0","1","0","1","0","0","1","0","0","1","0","1","1","1","1","1","1","1",12.779203934527,0
"1","0","0","1","1","0","1","0","0","0","1","0","0","0","0","1","1","1","1","1",20.0350394968531,1
"1","1","1","1","1","0","0","1","1","0","1","1","1","0","1","1","1","0","1","1",14.9807827199436,1
"0","1","0","1","1","0","0","1","0","0","1","1","1","1","1","0","0","0","0","0",-3.01916280995065,1
"0","1","0","1","1","0","1","1","1","1","0","1","0","0","1","1","1","0","0","0",-6.11961016480864,1
"1","0","1","1","0","1","1","0","1","0","0","1","0","1","1","1","1","1","0","0",20.917419665255,0
"0","1","1","0","0","0","0","1","0","0","1","1","1","0","1","0","1","0","1","0",-5.12153275125042,0
"0","1","0","0","1","0","1","0","1","1","1","0","1","0","1","1","1","1","1","1",-9.86504449778854,0
"1","1","1","1","1","0","1","0","1","0","0","1","1","0","1","1","1","0","0","1",15.1881669937928,1
"1","1","0","0","0","0","1","1","0","1","0","0","0","1","0","1","1","0","0","0",3.16909338276562,0
"0","0","1","1","1","1","0","1","1","0","0","0","0","0","0","0","1","1","0","0",3.38776845852456,0
"0","0","0","1","1","1","0","0","1","1","0","1","1","0","0","1","1","1","0","1",-2.08492314383279,0
"1","1","0","1","0","0","1","1","1","0","0","0","0","0","1","1","1","1","0","0",10.2232386650439,1
"0","0","0","1","1","0","1","0","1","0","0","1","1","1","1","1","0","0","0","0",4.85241817344984,1
"0","0","1","0","1","1","1","0","0","1","0","0","1","0","1","0","1","0","0","0",5.02469322610604,0
"0","1","1","1","1","0","1","1","0","1","0","0","1","1","1","1","1","0","0","0",-6.57499842358513,0
"0","0","0","1","0","0","1","1","1","0","0","1","1","0","1","1","1","0","0","0",5.33686485824604,1
"0","1","1","0","0","1","1","1","1","0","0","0","1","1","1","0","1","1","1","0",-6.38445569838587,0
"0","1","0","1","1","1","1","0","1","0","0","0","1","1","0","0","1","1","0","1",-4.57090623926322,1
"1","0","0","0","1","0","0","0","1","1","1","1","1","0","0","1","1","0","0","1",13.8666915905756,0
"1","0","1","1","1","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0",23.7257757706356,1
"1","1","0","1","0","1","0","1","1","0","0","0","1","0","0","1","0","0","0","0",8.91585687902023,1
"0","0","1","0","0","1","1","1","1","0","1","1","1","1","1","0","0","1","0","1",8.96023971162244,1
"0","1","0","1","1","0","0","1","1","0","0","0","1","0","0","0","0","0","1","0",-4.69815766743038,1
"1","0","1","1","1","0","1","1","0","1","1","0","0","1","1","1","0","1","0","1",26.7786621352731,1
"0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0",11.0485786265884,1
"1","1","0","0","0","1","0","1","0","0","1","1","0","0","0","1","1","1","0","0",10.0961021807109,1
"1","1","1","0","0","0","1","1","1","1","0","1","1","0","0","1","0","1","1","0",10.9807912041317,0
"1","0","1","0","1","1","0","1","1","1","1","1","0","0","0","1","0","0","1","1",23.3237304231981,1
"1","0","0","1","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","1",19.1001081805805,1
"0","0","1","0","1","0","1","1","1","1","1","0","1","1","0","0","0","0","1","1",9.46165228581008,1
"0","1","0","0","1","0","0","1","0","1","1","0","1","0","1","0","1","1","1","1",-9.54015394293407,0
"1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","0","0","0",14.5848664889561,0
"0","0","0","1","0","1","1","0","0","1","1","0","1","0","0","0","1","1","1","1",0.128565085145234,0
"0","0","1","1","1","1","0","0","1","1","1","1","0","1","0","1","1","1","1","0",5.50579483709183,0
"0","0","1","0","1","1","0","1","0","1","0","1","1","0","0","1","1","0","1","0",3.68735765469448,0
"1","0","0","1","0","0","1","1","1","0","0","0","1","0","0","1","1","1","1","1",18.0580060817204,1
"1","1","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0","1","0","0",9.24994199751558,1
"1","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","1","1","0",7.49370800908727,0
"0","1","0","0","1","1","0","0","1","0","1","0","0","0","1","0","1","0","0","0",-10.3156647908228,0
"0","1","1","0","0","0","1","1","0","1","0","1","1","1","0","0","1","1","0","0",1.31673527576738,1
"1","0","1","0","0","1","1","1","1","0","1","0","1","0","0","1","0","1","0","1",27.9049792801342,1
"0","1","1","0","1","1","0","1","1","1","0","1","1","1","1","0","1","0","1","0",-0.454005764704136,1
"0","0","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","1","1","0",9.84810327026156,1
"0","1","0","1","1","0","0","1","0","1","1","0","0","1","0","0","0","1","0","1",-9.88117770623766,0
"0","0","1","0","0","1","1","1","0","1","0","1","1","0","1","0","0","1","1","0",10.4485507890347,1
"1","1","0","1","1","1","1","0","0","1","0","1","1","1","0","1","0","1","1","0",10.1325409445226,1
"0","0","0","1","0","1","1","1","0","0","0","1","0","0","1","0","1","0","0","1",0.211356322090764,0
"1","1","1","1","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","1",15.247836372196,1
"1","1","1","0","1","1","0","1","0","1","0","1","0","0","0","0","1","0","1","1",9.96752619274058,0
"0","0","0","1","0","1","0","0","1","1","0","1","1","0","0","1","0","1","1","0",3.65101796928304,1
"0","1","0","0","1","1","0","1","0","1","0","0","1","1","0","1","0","0","1","0",-9.87778113122882,0
"1","1","0","0","0","1","1","1","0","0","1","0","1","1","0","0","0","0","1","1",3.58267440567452,0
"0","1","1","0","0","1","1","0","1","0","0","0","1","1","1","0","1","1","1","1",-3.22100597887056,0
"0","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","1","0","0","0",9.52007421168384,1
"0","0","0","0","0","1","1","0","1","1","1","0","1","1","1","1","1","0","1","0",5.77610106212114,1
"0","0","0","1","0","1","1","1","0","1","0","1","0","1","0","1","0","1","0","0",5.45874719906534,1
"1","1","1","0","1","0","0","1","1","1","0","1","0","1","1","1","0","0","1","0",8.21479838855163,0
"0","1","0","1","1","1","1","1","0","1","0","1","1","0","1","0","1","1","0","1",-3.59022945116282,1
"1","0","0","0","1","0","1","0","0","1","0","0","0","1","1","1","1","0","1","0",15.7659918661844,0
"0","1","1","0","0","1","1","1","1","0","0","0","1","1","0","0","1","0","0","0",-1.09842469789406,1
"0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","0","0","1",-1.51560935564656,0
"1","1","1","1","0","0","0","1","1","0","1","0","0","1","1","1","1","1","0","1",9.29059724353345,0
"0","1","0","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0",-4.93002986199335,1
"1","1","1","0","1","0","1","0","0","0","0","0","1","1","1","1","1","1","0","0",10.2053081309469,0
"1","1","1","1","0","1","1","1","0","0","0","1","1","0","0","0","0","1","0","0",14.0876776462927,1
"1","1","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","1","0","0",10.5074204596595,1
"0","0","1","0","1","1","1","0","1","1","1","0","0","0","0","1","0","1","0","0",9.45057522827953,1
"0","0","0","1","0","0","0","1","1","1","0","1","1","1","0","1","0","1","1","0",4.70816521024355,1
"1","1","1","1","1","0","0","1","1","1","0","1","0","0","0","0","0","1","0","1",10.6161631937832,0
"0","0","0","0","0","1","0","0","1","0","0","1","1","1","1","0","1","0","0","0",4.63420988763017,1
"1","0","1","1","1","1","1","0","0","0","1","1","0","1","0","1","1","1","1","1",20.6855056124541,0
"1","0","0","1","0","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1",19.8956738747765,1
"0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0",1.58492589800558,0
"1","0","0","0","0","1","0","0","0","0","1","0","1","1","1","1","0","0","1","1",13.2811967896125,0
"0","0","0","1","1","1","0","1","0","1","1","1","1","0","1","0","1","0","1","0",5.23088067341122,1
"1","1","0","1","1","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0",6.05802240763101,0
"1","0","0","0","1","0","0","0","0","0","1","1","0","0","1","1","0","1","0","1",21.2295912812616,1
"0","0","0","0","0","0","1","0","0","1","1","1","0","1","0","0","1","1","1","1",4.44406586105652,1
"1","0","0","1","0","0","1","0","1","1","0","1","0","1","0","0","1","0","0","1",16.0139803377857,0
"1","1","1","1","0","0","0","0","1","1","1","1","0","1","1","0","0","0","0","1",8.46708644046769,0
"1","0","0","0","0","0","1","1","1","1","1","0","0","0","1","0","0","0","0","0",15.342442209355,0
"1","0","1","0","1","1","0","0","0","1","1","0","0","1","1","1","0","1","0","0",24.3361896125173,1
"1","1","0","0","1","1","1","1","1","0","1","0","1","1","0","1","1","0","0","1",10.2886365101127,1
"0","1","0","1","1","1","1","0","1","1","1","0","0","1","1","0","1","1","0","1",-5.00999765834688,1
"1","0","0","0","0","1","0","1","1","1","0","1","1","1","0","1","0","0","1","0",15.7352182625391,0
"1","0","0","1","1","1","0","0","0","0","1","0","1","1","0","1","0","1","0","1",19.4706588276226,1
"0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","1","1","0","1","1",0.577759243463749,0
"1","1","1","0","0","1","1","0","1","0","1","0","0","1","1","0","0","1","1","1",15.5091776884583,1
"1","1","1","1","0","0","1","0","1","0","1","1","1","0","0","1","0","1","1","0",9.49653796234332,0
"0","1","1","1","0","1","1","1","1","0","1","1","1","0","0","1","0","0","1","0",-5.74005518744402,0
"0","0","1","0","0","1","1","0","0","1","0","0","1","1","1","0","1","1","0","1",2.18955490438619,0
"0","0","1","0","1","1","1","0","0","1","1","0","0","0","1","1","0","0","1","0",10.245689703088,1
"0","1","1","0","0","0","1","1","1","1","0","0","1","0","0","1","1","1","1","0",-1.53983607219394,1
"0","1","1","0","0","1","1","0","1","1","1","0","0","0","0","0","1","1","1","1",2.54557292019103,1
"1","1","0","0","0","1","1","0","0","0","1","0","1","0","1","1","1","0","0","1",4.96106050375538,0
"1","0","0","1","1","1","0","1","0","1","0","1","1","1","0","1","0","1","1","0",19.4610765667899,1
"1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","1","1","1",14.3266951983407,0
"0","0","0","1","1","0","0","1","0","1","0","1","1","1","1","0","1","0","1","1",-0.81757579273105,0
"1","1","0","0","0","0","1","0","0","1","0","1","0","1","0","0","1","0","0","0",5.32442604764361,0
"0","1","0","1","1","1","1","1","0","0","1","1","1","0","0","1","1","1","1","0",-9.76539516017198,0
"1","1","1","1","0","0","0","1","1","0","0","0","0","0","1","1","0","1","0","0",15.4230645676217,1
"0","1","0","1","0","1","1","0","1","1","1","0","1","1","0","0","1","1","1","1",-9.46009210411848,0
"1","0","1","1","1","0","1","0","1","0","1","1","0","1","0","1","0","1","1","0",19.0968055968538,0
"1","1","1","1","1","0","1","0","1","0","0","0","1","1","1","1","0","0","1","0",14.3453657943812,1
"0","0","0","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","0","1",2.15450098136981,0
"1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1",11.4418479536413,0
"1","1","0","1","1","1","0","0","1","0","0","1","1","0","0","1","1","1","1","0",3.94533597910297,0
"0","0","1","0","0","0","1","1","1","1","1","1","1","0","1","1","1","0","0","1",8.61518638527603,1
"0","1","1","0","1","0","1","0","1","1","1","0","1","1","1","0","0","1","0","0",1.13077963892121,1
"0","1","0","1","1","0","1","0","1","0","1","0","0","1","1","1","0","1","1","0",-4.2332862175272,1
"0","1","0","0","1","0","0","0","1","1","1","0","1","0","1","1","0","1","0","0",-4.9563436577796,1
"0","0","0","1","0","0","0","0","1","1","1","1","1","0","0","0","0","0","1","0",5.33117445071691,1
"0","1","0","0","1","0","1","1","1","0","0","1","0","0","0","0","1","0","0","0",-10.6458250873369,0
"1","1","1","1","0","1","0","0","1","1","1","1","1","0","1","1","1","0","0","0",14.0600426561594,1
"0","0","1","1","1","1","1","1","0","0","1","1","1","0","0","0","1","1","0","1",4.58428655751488,0
"1","1","1","0","0","0","1","1","1","1","1","0","0","1","0","1","1","0","0","0",16.3298230218136,1
"1","1","1","1","0","1","1","1","0","0","1","0","0","1","0","1","1","1","0","0",10.0401170618273,0
"1","0","1","1","0","1","1","0","1","1","1","1","1","0","0","0","1","1","0","1",20.36158485122,0
"0","0","0","1","1","1","0","1","0","1","1","0","0","0","1","0","1","0","1","0",-0.0342933529133846,0
"1","0","0","1","1","0","1","0","1","1","1","0","0","1","0","1","0","0","1","0",14.7368486609142,0
"1","0","0","0","0","0","1","1","1","0","1","1","1","1","0","1","1","1","0","1",15.9368452088197,0
"0","1","0","1","0","0","0","1","0","1","0","1","1","0","1","0","1","1","1","1",-5.37944877879955,1
"0","1","1","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","1","0",-5.37496477610284,0
"0","1","1","0","1","0","0","0","1","0","0","1","1","0","0","1","1","1","1","1",-0.775215391424507,1
"0","1","1","1","1","1","1","0","1","1","1","1","0","0","0","1","1","0","0","1",-0.644287869323231,1
"0","1","1","1","0","0","1","1","1","0","1","1","1","1","1","1","0","1","0","1",0.832437384596759,1
"0","1","1","1","0","0","1","1","1","1","0","1","1","1","0","1","1","1","0","1",0.122906554900844,1
"0","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","1","0",2.03025305811761,1
"0","0","0","0","0","1","1","1","0","0","1","0","1","0","0","0","1","0","1","1",-0.366735626400875,0
"0","1","1","0","1","0","1","1","1","0","0","0","1","1","0","1","1","0","1","1",-6.06431546383484,0
"1","0","1","0","1","0","1","1","0","0","0","1","1","0","0","0","0","1","0","0",21.5991873377727,0
"1","0","0","0","0","1","0","1","1","0","1","1","0","1","1","0","0","1","0","0",16.1706216774619,0
"1","1","0","1","0","1","1","0","1","1","0","1","0","1","1","0","1","0","0","0",4.04644276722191,0
"1","0","0","0","1","0","1","1","1","0","1","0","0","0","0","1","1","0","1","1",17.1911973191492,0
"1","1","1","0","0","0","1","1","0","1","0","0","1","1","0","0","0","1","0","1",10.0268310706375,0
"0","1","1","0","1","1","0","1","1","0","0","0","1","0","1","0","1","1","0","1",0.565817708320144,1
"1","0","0","0","0","1","0","0","0","0","0","1","0","1","1","1","1","1","0","1",16.209267697058,0
"0","1","1","1","1","1","0","1","1","0","0","0","0","1","1","0","1","0","1","0",1.06003142182139,1
"0","0","0","1","0","1","0","0","1","1","0","0","1","0","0","1","0","1","1","0",-1.33304575080393,0
"1","0","1","0","1","0","0","0","1","0","0","1","0","0","1","1","0","1","0","1",25.6140500143565,1
"0","1","1","1","0","0","0","1","0","0","1","1","0","1","0","1","0","1","1","1",-5.36382663303728,0
"0","0","0","1","0","0","1","0","0","1","0","0","0","0","1","0","0","1","0","0",4.34923577302135,1
"1","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","1","1","1","1",21.8720170798345,1
"1","1","1","0","0","0","1","1","0","1","1","0","1","1","1","1","1","0","1","0",17.6080757890039,1
"0","0","0","1","1","1","1","1","0","0","0","0","1","1","0","0","0","1","1","0",-1.51255059271308,0
"1","0","1","1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","1",25.53298411303,1
"1","0","1","0","0","1","1","0","1","1","0","1","0","0","1","0","0","0","1","1",24.0039826144082,1
"0","1","0","1","0","1","0","0","1","1","0","0","0","1","0","0","1","0","1","0",-4.36038234514119,1
"1","1","0","1","1","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0",9.2142718782768,1
"0","1","1","0","1","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0",0.0611573445955305,1
"1","0","0","1","0","0","0","1","0","0","0","1","1","1","1","1","1","1","1","1",15.3126468851055,0
"0","1","0","1","1","1","0","1","1","0","0","1","1","1","1","0","1","0","1","0",-5.15997944040082,1
"0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","0","0","0","0",0.120728934444805,0
"1","0","0","1","0","0","0","0","0","1","1","1","1","0","1","1","0","1","0","0",15.8488663772992,0
"1","0","1","0","0","1","1","0","1","1","0","1","0","0","0","0","0","0","1","0",20.2221280595431,0
"1","1","1","1","0","0","1","1","1","0","1","1","1","0","0","0","0","0","1","1",13.8629300581722,1
"0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1",6.19440791593318,0
"1","0","0","1","0","1","1","1","1","0","1","0","0","1","1","0","1","1","1","0",19.1422048458808,1
"0","0","1","0","0","0","0","1","1","1","1","0","1","0","1","1","0","1","0","0",9.39794269931198,1
"0","0","1","0","0","1","0","0","1","1","1","1","0","1","1","1","0","1","1","0",10.3365951872477,1
"1","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","1","1","0",10.6653839417256,1
"0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","1","1","0","1","0",9.48540024442801,1
"1","1","0","1","0","1","1","1","1","1","1","0","0","0","1","0","1","1","0","0",4.1557869954356,0
"0","0","1","1","1","0","1","1","0","0","0","0","1","0","0","1","1","0","1","0",10.9553614359931,1
"1","0","0","1","0","1","1","0","1","1","1","0","1","1","0","0","1","1","1","0",14.3786012111229,0
"1","1","0","1","0","0","1","0","1","0","1","0","1","0","1","1","1","0","1","1",11.0841959394782,1
"0","0","0","1","0","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1",-0.802770539982426,0
"0","1","1","0","1","0","1","0","0","0","0","1","0","1","0","1","1","1","0","1",-4.83102147718612,0
"1","1","0","0","1","1","1","0","1","0","1","0","0","1","0","1","0","0","0","1",9.92110817423952,1
"1","1","1","1","0","1","0","1","0","0","1","1","0","1","1","1","1","0","1","0",9.73571768078265,0
"1","0","0","1","0","0","1","0","1","1","1","0","1","1","1","0","0","0","1","1",16.0418008763548,0
"1","1","1","0","1","0","1","1","0","0","0","1","0","1","0","0","1","0","1","0",14.5323230137073,1
"0","1","1","1","1","1","0","1","0","1","0","0","1","1","1","1","1","0","1","0",0.403375674080575,1
"1","0","0","1","1","0","1","1","0","1","1","0","0","1","1","0","1","0","1","0",15.8449738963468,0
"1","0","0","0","0","1","1","0","1","0","0","1","0","0","1","1","1","0","0","0",15.8017896630726,0
"1","0","1","0","0","0","1","0","1","0","1","1","1","0","1","1","1","0","1","0",18.9180603563699,0
"1","1","0","1","0","1","0","0","1","0","1","1","0","1","0","1","1","0","1","0",10.7931332976085,1
"1","1","1","0","0","0","0","1","1","0","1","1","0","1","1","0","0","1","0","0",11.5743240202519,0
"1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1",11.1775393905705,0
"0","1","0","0","1","1","0","1","0","1","0","1","0","1","1","1","1","1","1","1",-9.79484060962516,0
"1","0","0","1","1","0","0","0","0","0","1","1","0","1","0","0","1","1","0","1",20.2646399999675,1
"1","0","0","1","1","0","0","1","1","1","1","0","0","0","0","1","1","0","1","1",20.9663048290995,1
"1","1","0","1","0","0","0","1","1","0","1","0","0","1","0","0","0","1","1","1",5.34733829669056,0
"1","0","1","1","1","1","0","1","1","0","0","0","0","0","1","0","0","1","0","1",20.8927612539854,0
"0","0","0","1","1","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0",4.54782556941631,1
"1","0","1","1","1","0","1","0","0","1","0","1","0","0","0","1","0","0","1","0",26.7779946301395,1
"1","0","1","1","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","1",24.3491453527738,1
"1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1",10.328128456931,0
"1","1","0","1","0","0","1","0","0","1","0","0","1","0","1","0","1","1","0","1",9.27362718893722,1
"1","1","1","1","0","0","0","1","1","0","1","1","1","0","1","0","0","1","1","1",15.66565941862,1
"1","1","1","0","0","1","0","1","1","1","0","1","1","0","1","0","1","1","1","1",9.29880714513557,0
"0","0","1","1","0","0","1","0","1","0","1","1","0","1","0","0","0","1","1","1",3.61525481299452,0
"1","1","0","1","1","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0",3.44245700977937,0
"0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","0","0","1",-0.134644336621488,0
"1","1","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0",9.94028284917643,1
"0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","0","1","0","1","0",-10.1853538538377,0
"1","0","1","1","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0",19.4424094960627,0
"1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","1","1","0","1","1",23.5645008691953,1
"0","0","0","1","1","1","1","0","1","1","0","0","1","1","1","0","0","0","1","0",-0.356761562560607,0
"1","1","1","1","0","1","0","1","0","0","1","1","0","1","0","1","1","0","1","0",9.73874081313594,0
"1","1","0","1","0","1","0","0","0","0","0","1","0","1","1","0","1","0","1","1",8.6739517263493,1
"1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","1","1","1","0","1",15.6801688914112,0
"1","1","1","1","1","0","1","1","0","0","1","0","0","1","0","1","0","1","1","0",16.5220167699274,1
"0","0","1","1","0","0","1","0","1","1","1","1","0","0","0","1","0","1","0","1",5.39959947672942,0
"0","0","0","0","1","0","1","0","1","1","0","0","0","1","0","0","0","1","0","1",4.59373015941062,1
"1","0","1","1","0","0","1","1","0","0","0","0","0","1","1","0","1","1","0","1",24.4862830733585,1
"1","0","1","0","0","1","0","0","1","1","1","1","1","0","1","0","0","0","0","1",21.7074149325386,0
"0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","1",3.72882342235597,0
"0","1","0","1","1","0","1","0","0","0","1","1","0","1","1","0","0","0","1","0",-2.82813825282781,1
"1","1","0","1","1","1","0","0","1","0","1","0","1","1","0","1","1","0","0","1",7.34584462355374,0
"0","0","1","1","0","0","1","0","0","1","1","0","0","1","0","0","0","1","0","1",4.76212256766468,0
"1","1","1","0","1","0","0","0","1","0","0","1","1","0","0","1","1","0","1","1",15.2447341146783,1
"0","1","1","1","1","1","1","1","0","1","0","0","0","0","1","0","0","0","0","0",-6.58930772530234,0
"0","0","1","1","1","0","0","0","1","1","0","1","1","0","1","1","1","1","0","1",7.80733642520487,1
"0","0","0","1","0","0","0","1","1","1","0","1","0","0","1","0","1","1","0","1",6.47225791527696,1
"1","0","1","0","1","0","1","1","1","0","1","1","1","1","1","0","1","0","1","0",21.5077352464433,0
"0","1","1","1","1","1","0","1","0","0","0","1","1","1","0","0","1","1","0","1",-5.28824420639398,0
"1","0","1","0","1","1","1","1","0","0","1","1","0","0","1","0","1","1","0","1",20.1081910769226,0
"0","0","1","1","0","0","0","1","0","1","0","1","1","1","0","1","0","0","0","0",11.4290125036881,1
"0","1","1","0","1","0","1","1","1","1","0","1","1","0","0","1","1","1","0","1",-0.736725520471525,1
"1","0","1","1","0","1","0","1","0","0","0","1","0","1","0","1","0","1","1","1",25.6068343789755,1
"0","1","1","0","1","1","1","0","1","1","0","0","0","0","0","1","0","1","1","0",-0.257604097227522,1
"1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","1","0",20.9606805269296,1
