"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","outcome","treated"
"1","1","0","0","1","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","1","1","1","0","0","0","0",4.6597421559381,0
"1","1","0","0","1","0","1","1","0","1","0","1","1","0","0","0","1","0","0","1","1","1","0","0","0","1","0","0","0","0",4.36956602690058,0
"0","1","1","0","1","1","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","1","1","1","1","0","0","0","0","1",-6.94475671323698,0
"0","1","0","1","0","0","1","1","0","1","0","1","0","1","0","1","1","1","1","0","0","1","1","1","1","0","0","0","0","1",-9.85575180549177,0
"1","1","0","0","1","0","0","1","0","0","0","1","1","1","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0","1",3.46025591378356,0
"0","0","0","1","1","0","1","0","1","0","1","0","1","0","0","0","1","0","1","0","0","1","0","0","1","1","0","1","0","0",5.11969415480612,1
"1","0","0","1","0","0","1","0","0","1","1","1","0","1","0","0","0","1","0","1","1","1","0","1","1","1","1","0","0","1",18.51406739487,1
"0","0","0","0","1","1","0","1","1","1","0","0","1","1","0","0","1","1","0","1","0","0","0","1","1","0","1","1","1","1",5.57666516404268,1
"0","1","0","1","0","1","0","1","0","0","1","1","1","0","0","1","0","0","1","0","1","1","1","0","0","1","1","1","0","0",-9.06594725223109,0
"1","1","0","1","1","0","1","0","1","0","1","0","0","0","0","1","0","1","0","0","1","0","1","1","1","1","1","1","1","1",11.4764665066316,1
"0","0","1","0","1","0","0","1","1","1","0","1","0","1","1","1","1","1","0","1","0","0","0","0","1","0","1","0","1","1",4.61959724605406,0
"0","0","1","0","1","0","0","1","0","1","0","0","1","0","1","1","0","0","0","1","1","0","0","1","1","0","0","1","1","1",5.4039951542661,0
"1","0","1","1","1","0","1","1","0","1","1","1","1","1","0","0","1","0","0","0","1","1","1","0","0","1","1","0","1","0",25.4971811519925,1
"0","1","1","1","0","1","0","1","1","0","0","1","0","0","0","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0",-1.12060649383199,1
"0","1","0","0","0","1","0","1","1","1","1","0","0","0","1","0","1","1","0","1","1","1","1","1","0","0","0","1","1","1",-9.87079291142071,0
"1","1","0","0","1","1","1","1","0","0","1","1","1","1","0","0","0","0","1","0","1","1","1","0","1","1","1","0","1","1",3.18790131499796,0
"1","1","0","0","1","0","0","1","0","1","1","1","1","1","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0",6.53679876349878,0
"0","0","1","0","0","1","0","1","1","1","0","1","1","0","0","1","1","1","1","1","0","1","1","1","0","1","0","0","1","1",10.2303442366403,1
"1","1","1","1","1","0","1","1","0","1","1","1","1","0","0","0","1","0","0","0","1","1","0","1","1","1","0","1","1","1",9.71321924211805,0
"1","0","1","1","0","1","1","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","1",25.0169016724226,1
"0","1","1","0","1","0","0","0","1","1","0","0","1","1","1","0","0","1","0","0","0","1","1","1","1","1","1","0","1","0",-0.313162233672868,1
"1","1","0","1","1","0","1","0","1","0","0","1","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1",9.70393426285465,1
"1","1","0","1","1","0","1","1","1","1","0","1","0","1","1","0","1","1","1","0","0","0","0","0","1","1","1","1","0","0",8.88202034324549,1
"1","0","0","0","1","0","1","0","0","0","1","1","0","1","1","1","1","1","0","1","0","1","0","1","0","0","1","1","0","0",19.4502610097188,1
"1","0","1","1","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","1","1","1","1","1","1","1","0","0","0",24.1016208554843,1
"1","0","0","1","0","0","1","1","1","0","1","1","0","0","1","0","0","1","1","1","0","0","0","1","1","1","1","0","0","0",12.5727360953514,0
"0","0","0","0","1","1","0","1","1","0","0","1","1","1","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","0",-0.0258798930934345,0
"1","1","0","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","1","0","1","0","0","1","1","1","0","1","1","0",8.40311487543318,1
"1","1","0","1","1","1","1","1","0","0","0","1","1","0","1","1","0","1","0","1","1","0","1","0","0","1","0","0","1","0",4.76436634733478,0
"0","0","1","0","1","0","1","1","1","0","0","1","1","0","0","0","0","1","0","1","0","1","1","0","0","0","1","0","1","0",6.47550197921677,0
"0","1","0","0","1","1","0","0","0","0","0","0","1","0","1","1","1","0","1","0","0","0","1","0","1","1","1","0","0","1",-6.13118519599213,1
"1","0","1","1","1","1","0","0","1","1","0","0","0","0","1","0","0","1","0","1","1","0","0","1","0","0","1","1","1","0",19.8974556465704,0
"0","1","1","1","1","0","1","1","1","1","1","1","0","1","0","1","0","1","0","0","0","1","1","0","1","0","0","0","1","1",0.337455657731516,1
"0","1","1","1","1","0","1","0","0","0","1","0","1","0","1","1","1","1","1","0","0","0","1","0","0","1","1","1","1","0",-0.707724923499613,1
"0","1","0","0","0","0","0","1","1","0","1","0","1","1","0","0","1","0","0","0","1","1","1","0","1","0","0","1","0","1",-9.7771259394116,0
"1","0","0","1","0","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","1","0",14.0998589115825,0
"1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","1","0","1","0","1","0","1","1","0","0","1",14.6598509115788,0
"1","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","1","1","1","0","0","0",20.3031395318723,1
"1","0","0","1","0","1","1","1","0","1","1","0","1","0","0","1","1","1","0","1","0","1","1","0","1","0","0","0","0","0",15.48227253693,0
"1","1","0","1","0","0","1","1","0","1","0","0","1","1","1","0","1","1","1","1","0","0","0","1","0","0","0","0","0","1",4.60198882783146,0
"1","0","1","1","1","1","1","1","0","0","0","1","0","0","0","1","0","1","0","1","1","0","1","1","0","1","0","0","0","0",19.3506489443193,0
"1","1","0","1","0","0","0","1","1","1","1","0","1","1","0","0","0","0","0","1","1","1","0","1","0","1","1","0","1","0",3.5669804237155,0
"0","0","1","1","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","1","0","0","0",9.73398967657194,1
"0","1","0","0","0","0","1","0","0","1","1","1","0","1","0","1","0","0","1","0","1","1","1","1","1","1","0","0","0","1",-4.07643053488747,1
"1","0","0","0","0","0","1","0","1","0","0","0","1","1","1","0","0","0","1","0","0","1","0","1","0","1","0","1","1","1",19.6979683749389,1
"0","1","1","1","1","1","0","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","0","0","0","1","0","1","1",-6.24682778719161,0
"1","0","0","0","0","0","1","1","0","0","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","1",12.9716810172108,0
"0","1","0","1","1","0","1","1","0","0","0","1","0","1","1","1","0","0","1","0","0","0","0","1","1","1","0","1","0","0",-4.7943348713284,1
"0","0","1","1","0","0","1","1","0","0","1","0","1","0","0","1","1","0","1","1","0","0","1","1","1","1","1","0","0","1",10.8943261860285,1
"1","0","0","1","1","1","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1",14.7160202774248,0
"1","1","0","1","1","1","1","0","1","1","0","1","0","0","1","1","0","1","0","1","1","0","1","0","1","0","0","0","1","1",3.4146038202938,0
"0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","1","0","1","1","1",4.95018973349335,0
"0","0","1","0","1","1","1","1","1","0","1","1","1","1","1","0","0","0","0","1","1","1","0","0","0","0","1","1","1","1",8.85527762592952,1
"1","1","0","0","1","1","1","1","1","0","1","1","0","1","1","1","1","0","1","0","1","0","0","1","1","0","0","0","0","0",4.86202061133763,0
"1","0","0","0","1","0","0","0","0","1","0","1","0","1","0","1","0","1","0","0","1","1","1","0","1","1","1","1","0","1",15.4528892245052,0
"1","0","0","1","0","0","1","0","1","0","0","0","1","0","1","1","0","1","1","0","0","1","0","0","0","1","1","0","0","0",18.638639414452,1
"0","0","1","1","1","0","1","0","1","1","1","0","0","0","1","1","1","0","1","0","0","1","0","0","1","1","0","1","1","0",3.36890727254142,0
"0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","1","1","1","0","1","1","1",-1.52561009112232,0
"0","0","0","0","0","1","1","0","1","0","0","1","1","1","0","1","1","0","1","1","1","0","1","0","0","0","1","1","0","1",1.52179279547651,0
"0","1","1","1","1","0","0","0","0","0","1","0","1","1","1","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0",-5.41298389616417,0
"0","1","0","1","0","1","0","1","1","0","1","0","0","1","1","1","1","0","0","0","0","0","1","0","1","0","0","1","1","1",-11.1012895367352,0
"1","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","1","1","0","1","1","0","0","1","1",14.0143855865413,1
"1","1","1","0","1","0","1","0","0","1","0","0","0","1","0","1","1","0","0","0","1","0","0","0","1","1","0","1","1","1",14.0827527520146,1
"1","1","1","0","0","1","0","1","0","0","1","0","0","0","1","1","1","1","0","0","1","0","1","0","1","1","1","0","1","1",11.394645104545,0
"1","1","0","1","1","1","1","0","0","1","0","0","0","1","0","1","0","1","0","1","1","1","1","1","0","1","0","1","1","0",10.6269165413488,1
"0","0","1","0","0","1","1","0","1","0","1","1","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0",10.5225621176954,1
"0","1","0","1","0","1","0","1","1","1","1","0","0","0","1","1","0","1","0","0","0","1","0","1","0","1","0","1","1","1",-4.95818053760077,1
"0","0","1","0","0","0","1","0","0","0","1","1","0","1","0","0","1","1","0","0","0","1","0","1","1","1","1","1","1","1",6.49198954634963,0
"0","1","1","0","1","0","1","1","0","1","1","1","1","0","1","1","0","1","0","0","1","0","1","0","0","0","0","1","1","1",-1.178554334372,1
"1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","0","1","1","0","1","0","0","1","0","0","0","0","1",26.1136554284407,1
"0","1","1","1","1","0","1","1","1","0","1","1","0","1","0","0","1","0","0","1","1","1","0","1","0","1","0","1","0","0",0.659847535670376,1
"0","1","1","0","1","0","0","1","1","1","0","1","1","0","1","1","0","0","1","1","1","1","1","1","1","1","0","1","0","1",-5.832985246686,0
"0","1","1","0","1","0","1","0","0","0","1","1","0","0","0","0","1","1","1","0","1","1","0","1","1","1","1","0","1","0",-0.412813923104862,1
"1","1","1","1","0","1","1","1","0","0","0","1","1","0","0","1","1","0","0","0","1","1","1","1","0","0","0","0","1","0",14.7438736517668,1
"1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0",19.1632874193914,1
"0","0","0","1","1","1","0","0","0","0","0","0","0","1","1","0","1","1","1","1","0","0","1","0","1","1","1","0","0","0",0.432769016810504,0
"1","0","0","0","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","1","0","1","0","1","0",16.2945562973529,0
"0","0","1","1","1","1","0","1","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0","1","0","0","1","0",10.0253772959271,1
"1","1","1","1","1","0","1","1","1","0","1","0","1","0","1","1","0","1","1","0","0","0","0","0","0","1","1","1","1","0",9.69764261963384,0
"1","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","1","0","0","0","1",14.4918430019931,0
"1","0","0","1","1","0","0","1","1","0","1","0","0","0","1","0","0","1","1","0","1","0","0","1","0","1","0","0","1","1",14.3282284024676,0
"1","1","1","0","1","0","0","0","1","0","1","1","1","1","0","0","1","1","1","0","0","0","1","1","0","0","0","0","1","1",10.5254576001725,0
"1","0","1","0","1","1","1","1","1","0","0","0","0","0","1","0","0","1","0","0","1","1","0","1","0","0","0","1","1","0",19.6459250552592,0
"1","0","1","1","0","1","0","0","1","0","0","0","0","1","1","0","0","1","1","0","1","0","1","1","0","1","0","0","1","1",19.0673591737826,0
"0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","1","0","1","0","0","0","0","0","1","1","0","0","1","1","1",-3.51420765765427,1
"0","1","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","1",-10.1706554593383,0
"0","1","0","1","0","1","0","0","1","1","1","0","0","1","1","0","1","0","0","1","0","0","1","0","0","0","0","1","1","1",-5.36252593639231,1
"1","0","1","1","1","1","0","1","1","1","0","1","0","1","0","0","0","1","0","1","0","1","1","0","1","1","0","0","0","1",21.5896604657958,0
"1","0","0","0","1","0","0","0","0","1","1","1","1","1","1","0","0","0","1","1","0","1","1","1","0","0","0","0","1","0",19.5195856407979,1
"1","1","1","0","1","0","1","1","0","1","0","1","1","0","0","0","1","0","0","0","1","0","0","1","1","1","1","1","0","0",11.0233640514722,0
"0","0","1","1","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","1","1","1","1","0","0",11.1594961369047,1
"1","0","0","0","1","1","0","0","1","0","1","1","1","1","1","0","1","0","1","1","0","1","0","1","0","1","0","1","1","0",13.421292719608,0
"0","1","0","0","0","0","1","1","0","0","0","1","1","0","1","1","1","0","0","0","0","0","1","0","1","1","0","0","0","1",-6.69542110836395,1
"0","0","1","0","1","1","1","0","0","1","0","1","0","1","1","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0",7.00488020287364,0
"1","0","0","1","1","1","0","1","0","0","0","1","1","0","1","1","0","1","0","1","1","0","1","1","0","1","1","1","1","0",14.0384119812633,0
"0","0","0","0","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1",4.20666116589073,1
"1","0","0","0","1","1","1","1","1","1","1","1","0","1","0","0","1","1","0","0","1","0","1","0","1","0","0","0","0","1",15.1788135318325,0
"0","1","0","1","0","1","1","0","0","0","0","0","1","1","0","1","0","1","0","0","1","0","0","0","1","1","0","0","1","0",-4.62640465112493,1
"0","1","0","1","0","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0",-10.3494192566799,0
"0","0","1","1","1","1","0","1","0","1","1","0","0","1","1","0","1","0","1","1","0","1","0","0","1","1","1","1","1","1",11.4879520310955,1
"1","0","1","1","0","1","0","1","0","0","0","1","1","1","1","1","1","0","1","0","1","0","1","1","0","0","1","0","1","0",19.375173468632,0
"0","1","0","0","1","1","1","1","0","1","1","1","0","0","1","1","1","0","1","0","1","1","0","0","1","0","1","1","0","0",-3.88085747758853,1
"1","0","1","1","0","0","0","1","1","0","1","1","1","1","1","1","1","0","1","1","0","1","0","0","0","1","1","1","1","1",27.6209518375834,1
"1","1","1","1","0","0","1","0","1","0","0","0","0","1","1","0","1","1","1","0","1","1","1","1","0","1","1","0","1","0",15.9344949680233,1
"1","1","1","0","1","1","1","0","0","0","0","1","0","0","1","0","0","1","1","1","1","0","0","1","1","0","1","0","0","0",15.4724799180904,1
"1","0","0","0","0","1","1","1","0","0","1","0","1","0","1","1","0","0","1","0","0","1","0","1","0","0","0","0","1","1",14.1373489243095,0
"1","1","1","0","1","0","1","1","1","1","1","0","1","1","0","0","1","1","1","1","1","0","1","1","1","0","1","1","0","1",10.0470723214643,0
"1","1","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0",15.9980322756081,1
"0","1","0","0","1","1","1","1","1","0","1","0","0","0","1","0","1","0","1","0","1","0","1","1","1","1","1","0","0","1",-3.70885274840407,1
"0","1","0","0","1","1","0","0","1","0","1","1","1","0","1","0","1","1","1","0","1","1","0","1","0","0","1","0","0","0",-8.52154826290406,0
"1","0","0","1","0","1","1","1","1","1","0","1","0","0","0","0","0","1","1","1","0","0","1","0","1","1","1","0","1","0",15.7311133545136,0
"0","0","0","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","0","1","0","0","1","1","1","0","0","1","0","1",0.567160010003588,0
"1","1","1","1","1","1","0","1","1","0","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","1","1","1","1","1",10.1604246902308,0
"1","0","0","0","1","1","0","1","1","1","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","1","1","0","0","0",21.6934748590334,1
"0","1","0","1","0","1","0","1","0","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0",-9.87128133564955,0
"0","0","0","0","0","1","0","0","1","0","1","0","1","1","0","1","1","0","0","0","1","0","1","0","1","0","0","1","1","0",5.61548315817196,1
"1","1","1","1","0","0","1","1","0","0","0","1","1","1","1","1","0","0","0","0","1","1","1","1","0","0","1","1","1","0",9.74241410495219,0
"1","0","0","1","1","0","1","1","0","1","0","0","1","1","1","0","1","1","0","0","1","1","1","1","0","0","1","0","1","0",15.4380687793268,0
"1","1","1","0","1","1","1","1","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","0","1","0",14.5104486164729,1
"0","1","0","1","0","1","1","1","0","0","0","1","1","0","0","0","1","0","0","0","1","0","1","1","1","1","1","1","1","1",-3.80670316106653,1
"0","0","1","1","1","0","1","1","0","0","1","0","0","0","1","0","1","0","1","1","0","0","0","0","1","0","1","0","1","1",8.49780742443743,1
"1","1","1","1","1","1","1","0","0","0","0","1","0","1","1","0","1","1","1","0","0","0","0","0","1","0","1","1","0","1",16.2041621219051,1
"0","1","1","0","1","1","0","0","1","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","1","1","1","1","0","1",-4.79087698907233,0
"0","0","1","1","0","1","1","0","1","0","1","1","1","1","0","1","1","1","0","0","1","0","0","0","0","1","1","1","1","1",9.24806123824818,1
"0","0","0","1","0","0","1","1","1","1","1","0","1","1","0","0","0","1","1","0","1","0","1","1","1","0","0","0","0","1",-1.93818341161301,0
"0","1","0","1","1","0","1","0","1","1","0","1","0","0","0","0","1","1","0","1","0","0","1","0","0","1","0","0","0","1",-6.73294740631933,1
"0","0","0","1","1","1","0","0","0","1","1","1","0","1","0","0","0","1","0","0","0","0","1","0","1","1","1","1","0","0",4.07058774262922,1
"0","0","0","1","0","1","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","1","1","1","1","0","0","0","0","0",1.78291705850118,0
"0","0","1","1","0","1","0","0","0","0","1","0","1","0","1","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0",3.60553034196867,0
"0","1","0","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","1","0","1","0","0","1","0","0","0",-5.17009528357057,1
"1","1","0","0","1","1","1","1","0","0","1","0","1","0","0","0","0","1","1","1","1","0","0","1","1","0","0","0","0","0",5.02859041858656,0
"0","0","0","0","0","0","1","0","0","1","1","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","1","1",5.93652082369046,1
"1","0","1","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","1","0","0",19.809728393488,0
"0","1","0","1","0","1","1","0","0","0","1","1","0","1","1","0","1","1","1","1","1","0","1","0","1","0","0","0","1","1",-10.1960464303983,0
"1","0","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","0","1","0",20.3615498020047,1
"1","0","1","1","0","1","0","1","1","1","1","1","1","1","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","1",21.1936394110182,0
"1","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","1","1","1","0","0","0","0","1","0",19.9381377700248,1
"0","0","1","1","1","1","0","1","0","1","1","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","1",11.003068460701,1
"0","1","1","1","0","0","1","1","1","1","1","0","0","0","0","1","0","1","1","1","1","0","0","1","1","0","1","1","1","1",-4.71096226790264,0
"1","0","1","0","1","0","0","1","0","0","1","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","1","0","1",26.0734746949632,1
"1","0","1","1","0","0","0","0","1","0","0","1","1","0","1","0","0","0","1","1","0","1","0","0","1","0","0","1","1","0",18.8640653123146,0
"1","0","1","0","0","1","1","1","1","0","0","1","0","0","1","1","1","0","1","0","0","0","1","0","1","1","1","0","0","0",24.4024420606196,1
"1","1","1","1","0","1","0","1","0","1","1","0","0","0","0","0","0","1","1","1","1","1","1","0","1","1","0","1","0","1",9.86216466217746,0
"1","1","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","1","1","1","1","1","0","0","1","1","1","0","1","0",5.92319197747184,0
"1","1","0","0","1","1","0","0","1","0","1","1","0","1","0","0","1","1","0","1","1","1","1","0","1","0","1","1","1","0",8.34670273257571,1
"1","1","1","0","1","1","1","0","0","1","0","1","0","0","0","1","0","0","1","0","1","1","0","0","1","1","1","0","1","1",12.5481895357312,1
"1","1","0","1","1","1","1","0","1","1","1","0","1","1","0","0","1","1","0","1","0","1","0","0","0","0","0","1","0","1",10.7464101411912,1
"1","1","1","1","0","1","1","1","0","0","1","0","1","1","0","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1",16.6069135833647,1
"0","1","1","1","1","1","0","1","1","0","0","1","1","1","0","1","0","1","0","0","1","1","1","1","0","1","0","1","0","1",-1.49483992908006,1
"1","0","0","1","1","1","0","0","0","1","0","0","0","1","1","0","0","1","0","0","1","0","1","1","1","1","0","0","1","0",20.0198012381793,1
"1","1","0","1","0","1","1","1","1","0","0","1","0","0","1","1","0","1","1","0","1","0","1","0","0","0","0","0","0","1",9.47834502257509,1
"1","1","1","0","1","0","1","0","0","0","0","0","0","1","0","1","1","1","1","0","0","1","0","1","0","1","0","0","1","0",14.7191366949367,1
"1","1","1","1","0","0","1","1","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1","1","0","0","0","1","0",16.8174886945885,1
"0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0",5.13864415642271,1
"0","1","1","0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","0","1","1","1","1","0","1","1","1",-4.55823143985268,0
"1","1","1","0","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","1","1","1","1",9.19999234719877,0
"1","1","1","0","1","0","1","1","1","0","1","0","1","1","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","1",9.31943276192723,0
"1","0","1","1","0","1","0","1","1","0","0","1","0","0","1","1","1","1","1","0","1","0","1","0","0","1","0","1","0","1",25.4125100244158,1
"1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","1","1","0","0","1","0",8.31521393030064,1
"0","0","0","1","1","1","0","0","0","0","1","1","1","0","1","1","0","1","0","1","1","0","0","1","1","0","0","0","0","1",-0.413577408176656,0
