"X1","X2","X3","X4","X5","outcome","treated"
"1","1","0","0","0",8.85453814561771,1
"1","1","1","1","0",15.9057549353866,1
"1","0","0","1","1",21.2325723992051,1
"1","1","1","1","0",14.4910463407029,1
"0","0","1","1","1",6.74871653613713,0
"1","0","0","1","0",21.5149855001951,1
"1","1","0","0","1",5.12156646723646,0
"0","1","0","1","0",-9.43560325225485,0
"0","0","0","0","0",7.0372905619542,1
"0","1","1","1","0",0.0677355392498491,1
"1","0","0","1","0",20.0905074625709,1
"1","1","0","0","0",5.57207611349058,0
"0","0","1","1","1",4.06120917198337,0
"1","1","0","1","1",11.5042649845017,1
"1","0","0","0","0",14.2619643771772,0
"0","1","0","1","0",-10.7533269063264,0
"0","0","1","1","0",9.26816678728956,1
"0","1","1","0","0",-7.36304568714394,0
"1","1","1","1","1",9.64212638815389,0
"0","0","0","1","0",5.07625430075942,1
"1","0","1","1","0",21.1014424115236,0
"1","1","0","1","1",10.8247687744069,1
"1","1","1","0","0",9.70578378998012,0
"1","0","0","1","1",15.6276267238234,0
"1","0","1","0","1",19.4064770507506,0
"0","0","1","1","1",5.43789107612869,0
"1","1","0","1","0",4.64195148708631,0
"0","1","0","1","1",-6.08522163962346,1
"1","0","0","1","1",21.4428167136869,1
"1","0","1","0","1",18.1995515668859,0
"0","1","0","1","1",-5.88312197015723,1
"0","0","1","0","0",8.19595570115124,1
"0","0","0","0","1",1.4279515595111,0
"0","0","0","0","1",6.79098331714956,1
"0","0","0","0","0",5.03406678147541,1
"1","0","1","1","1",18.6184718973125,0
"1","0","0","0","1",20.8761830625147,1
"1","1","1","0","0",10.3031406864177,0
"1","1","1","0","1",14.8735326424443,1
"1","1","0","0","1",8.34733399483559,1
"0","0","1","1","0",5.66347062800776,0
"0","0","0","1","1",0.155322794256533,0
"0","0","0","1","1",5.03726546376791,1
"0","1","1","0","1",-6.1148388382753,0
"0","0","1","1","1",4.97486044185884,0
"0","1","0","0","1",-4.28320796033807,1
"0","1","1","1","0",-3.48523240366683,0
"1","0","1","0","1",19.6160384170133,0
"1","1","1","0","0",10.0149102831871,0
"0","1","1","0","1",-3.90978503042739,0
"0","0","1","0","0",11.8622877158706,1
"1","1","0","1","1",3.87833583735385,0
"0","0","1","0","0",9.61884686887285,1
"1","1","0","1","1",9.8975857882057,1
"1","1","1","0","0",15.0041250797697,1
"0","0","1","1","1",9.85475447982239,1
"1","1","0","0","0",9.56456918669122,1
"1","0","0","0","0",16.9148473195026,0
"1","0","0","0","0",15.6359690094335,0
"0","0","1","1","1",11.6507663972163,1
"1","0","0","1","1",14.0454268821754,0
"0","0","0","0","1",-1.21776865839406,0
"0","1","1","0","1",-1.56383329276729,0
"1","1","0","0","1",6.58708360996924,0
"0","0","1","0","1",4.20458920165543,0
"0","0","0","1","1",0.237078476771132,0
"0","1","1","1","0",-0.0272832725358825,1
"1","1","0","0","1",6.11185228073015,0
"0","0","1","1","1",10.5418761854318,1
"1","1","1","1","0",10.0072297247626,0
"1","0","0","0","1",16.1584218398131,0
"0","0","1","0","1",9.66967571217491,1
"1","0","1","0","1",24.5670303518571,1
"0","1","0","0","1",-6.0847825275884,1
"0","1","1","1","0",-4.30726427142895,0
"1","1","1","0","0",11.0190436771396,0
"1","0","1","0","1",24.9532122881628,1
"1","1","1","1","1",14.3455059758619,1
"1","1","0","1","0",4.8229605376827,0
"0","0","1","0","0",9.69868261252369,1
"1","0","1","0","1",19.7574609533954,0
"1","0","0","1","0",19.1996155548676,1
"0","0","0","1","1",3.35880293536062,1
"1","1","0","0","1",9.13513386205346,1
"1","1","0","1","1",5.48294705117366,0
"1","1","1","1","0",11.9608046525089,0
"0","0","1","1","0",9.01885611727827,1
"1","1","0","0","0",5.32335478647902,0
"1","0","1","0","1",25.2678943881744,1
"1","0","1","1","0",25.05469952532,1
"0","0","1","1","1",3.66068714017724,0
"0","0","1","1","0",5.05936810204555,0
"0","0","1","1","0",9.23931813633311,1
"1","0","1","0","1",25.2777983548857,1
"0","0","1","0","0",5.70383539664866,0
"0","0","0","1","1",-0.912036162836939,0
"0","1","0","0","0",-11.0528114490447,0
"0","1","1","0","1",-4.13021283658612,0
"1","0","1","0","0",24.1590305744414,1
"0","0","0","1","1",7.24386239880351,1
"1","1","1","1","0",8.76334418609704,0
"1","0","0","0","0",15.3828601991534,0
"1","0","0","1","1",13.5049918413081,0
"0","0","1","0","1",7.21830511882856,1
"0","0","1","1","1",10.408379531053,1
"1","1","0","1","1",5.51054634377602,0
"1","1","0","1","1",13.0474588387244,1
"1","1","1","1","1",10.5947904433942,0
"1","0","1","0","1",20.0600802647833,0
"0","0","0","1","0",0.882784291712093,0
"1","0","0","0","1",13.6266396439002,0
"1","1","1","0","0",10.1138341921122,0
"0","0","1","1","1",3.18362165713088,0
"1","0","1","1","1",20.5637246513971,0
"0","1","0","1","1",-4.92042012438218,1
"0","1","0","1","0",-2.99058039896767,1
"0","1","0","1","1",-8.63544440969342,0
"1","1","1","0","0",15.1591713938401,1
"0","0","0","0","0",4.9668779638388,1
"1","0","1","1","0",19.0364321633207,0
"0","0","0","0","1",4.91978313554461,1
"0","1","1","0","0",-4.56847396207608,0
"0","0","0","0","0",3.38251750060858,1
"1","0","0","1","1",20.1490468117373,1
"0","0","1","1","1",3.47319433416447,0
"0","1","1","1","0",1.4612563395037,1
"1","1","0","0","0",8.42834199073048,1
"1","0","1","0","1",21.7608559487896,0
"0","1","1","1","0",1.1329311807174,1
"1","1","1","1","1",9.72003457166932,0
"0","1","0","1","0",-7.88974286483051,0
"1","0","1","1","0",23.924949001014,1
"1","0","1","0","1",19.4296068856579,0
"1","0","0","0","0",20.2392226642163,1
"1","0","0","1","1",21.5546906841615,1
"0","1","0","0","0",-8.70423810759261,0
"1","1","0","0","0",9.88263462856472,1
"1","0","1","0","1",25.4927326172181,1
"1","1","0","1","0",4.37938426049499,0
"0","1","1","1","1",-5.23021494999202,0
"0","0","0","0","1",0.0557451317345042,0
"0","1","0","1","0",-5.33606828931297,1
"1","0","0","1","0",15.8243308635908,0
"0","1","1","1","1",0.378231047458438,1
"1","1","0","0","0",5.63175712848146,0
"0","0","0","1","0",5.33580294264264,1
"0","1","1","0","0",-5.25356122208651,0
"1","1","1","0","1",9.73276762789776,0
"0","0","1","0","0",9.85662898429547,1
"0","0","0","1","1",4.60898850390553,1
"0","0","1","0","0",8.32800352671073,1
"0","0","1","1","0",4.29851068395107,0
"1","1","0","1","0",7.65901504701004,1
"0","0","1","1","0",4.57896592625975,0
"0","0","0","1","1",1.4900400939467,0
"0","0","0","1","1",0.679679892435393,0
"1","1","1","1","1",10.593603343895,0
"1","0","1","1","1",20.845793202329,0
"1","1","0","1","1",4.37738538848498,0
"1","0","0","0","1",14.8950367334833,0
"0","1","1","0","0",2.5845370422745,1
"0","1","1","1","0",-5.49972211240955,0
"0","0","1","0","0",2.95184083784578,0
"1","0","1","0","1",21.4986298606745,0
"1","0","1","1","0",20.7154672275831,0
"0","1","1","1","1",-0.576422379618487,1
"0","0","0","0","0",0.106291525033671,0
"1","0","0","1","1",19.6732992170631,1
"0","0","0","1","1",5.12081487945115,1
"1","0","1","0","1",25.1555102427904,1
"0","1","0","1","0",-10.9791225839354,0
"0","1","1","1","0",0.127911457711628,1
"0","0","0","1","1",5.95209372786908,1
"1","1","1","1","1",14.859828880414,1
"1","0","0","0","1",21.0199195062278,1
"1","1","1","0","0",16.0872338909571,1
"1","0","1","1","0",26.1821489340806,1
"0","0","0","1","0",4.76998966948553,1
"0","0","0","1","0",1.2067309913046,0
"1","1","1","1","0",14.1296880228427,1
"1","1","0","0","1",9.25947801394245,1
"1","1","0","1","0",4.67625762351914,0
"1","0","1","0","1",25.2883849879683,1
"1","1","0","1","0",4.81350613950929,0
"1","1","0","0","1",4.59671497125611,0
"1","1","0","0","0",10.0357224493254,1
"1","0","1","1","1",24.616513146856,1
"0","0","0","1","0",-0.930226234776015,0
"0","0","0","0","0",5.42981196167298,1
"1","0","0","1","0",14.6281685385162,0
"0","0","0","0","1",5.72309433855195,1
"0","0","0","1","0",5.03848881249362,1
"1","1","0","1","0",9.61670079567664,1
"0","1","0","0","1",-4.0548714895519,1
"1","1","1","1","0",15.512739033191,1
"1","0","1","1","1",20.8184803034604,0
"0","0","1","1","1",9.88105606572644,1
"1","0","1","1","0",19.04049092085,0
"0","0","0","0","0",-0.0103257607184284,0
"1","1","1","0","1",9.48861176059217,0
"1","0","0","1","1",20.1753151521826,1
"0","0","0","0","1",6.57739907000647,1
"0","0","1","1","1",6.44944000525228,0
"0","0","1","0","1",11.063919753453,1
"0","1","1","1","1",0.779091119275692,1
"0","1","1","1","1",0.585890245302211,1
"1","1","1","0","0",10.1438559175169,0
"0","1","1","1","0",-5.96891736887913,0
"1","1","0","1","1",6.28486170580136,0
"0","1","0","0","1",-7.39386927673148,1
"0","0","1","0","0",4.52622094064669,0
"1","0","0","1","1",15.3040209085857,0
"1","1","0","1","0",4.55992505364472,0
"1","1","0","1","1",4.27277633907718,0
"0","0","0","0","0",4.69668189623266,1
"1","0","1","0","0",24.6225735645385,1
"0","1","0","1","0",-11.3898901382693,0
"1","0","1","1","0",23.5161932795746,1
"0","1","1","0","0",-6.1544922949752,0
"1","1","0","1","0",10.6661198756407,1
"1","0","1","1","1",19.9723426223739,0
"1","1","0","1","1",10.0642776740319,1
"1","0","1","1","1",21.2126029693443,0
"1","0","1","1","1",19.020895428283,0
"0","0","0","0","1",-2.29234828656388,0
"0","1","0","1","0",-3.15967982602643,1
"1","1","0","0","1",6.49719780806509,0
"0","0","0","0","0",1.38581381925755,0
"0","0","1","0","1",4.62760710490898,0
"0","1","1","1","1",0.0109509226958453,1
"0","0","0","1","1",-0.245707018490553,0
"1","1","0","0","0",10.6653488638287,1
"1","1","1","1","1",9.44686346553868,0
"0","0","0","1","1",3.49978385409699,1
"1","1","0","0","1",4.33323082468637,0
"0","1","1","1","0",-6.43580358166406,0
"0","1","1","1","1",-4.49973641521835,0
"1","1","1","1","0",13.4519214429892,1
"1","1","1","0","0",14.1656030521978,1
"1","1","1","1","0",14.5279834545408,1
"0","0","0","0","1",0.927825270594181,0
"0","0","1","0","0",11.1875559718842,1
"0","0","0","1","0",4.50151310776798,1
"0","1","0","1","1",-10.5997687793433,0
"0","1","1","0","1",-0.897766498588275,1
"0","1","0","1","0",-11.4408947047415,0
"0","0","1","1","1",5.96158890990659,0
"0","1","1","0","1",1.07477991811419,1
"0","1","0","1","1",-9.91184393664965,0
"0","1","0","1","0",-10.3887905590001,0
"1","0","0","0","1",15.2766147575166,0
"1","0","1","1","1",23.8452442342098,1
"0","0","1","1","1",3.58979037471149,0
"0","0","0","1","1",0.559428122435221,0
"0","1","1","0","1",-4.53562027284644,0
"0","0","0","1","1",-0.39713079205291,0
"0","0","1","1","0",10.1006502769991,1
"1","0","1","1","1",25.1085872717357,1
"1","0","0","0","0",19.5296542417475,1
"0","0","0","0","1",3.85487725795943,1
"0","1","1","0","1",-7.03321493430709,0
"0","1","0","0","0",-5.76733741769863,1
"1","1","0","1","1",4.86214537233884,0
"1","1","0","0","0",5.95139714535453,0
"0","0","1","1","0",9.86054135245503,1
"1","0","1","0","1",20.1853511775812,0
"0","0","1","0","1",8.82363980574329,1
"0","1","0","0","0",-9.77444183375744,0
"0","0","1","0","0",10.8691321192727,1
"1","0","1","0","0",24.6714447977035,1
"0","1","0","1","0",-11.8330035996889,0
"1","0","0","1","0",20.9208489121578,1
"0","0","1","1","0",4.96210660250248,0
"1","1","0","1","1",8.66253772419532,1
"1","0","0","0","0",15.0428665376223,0
"1","0","1","1","1",20.1546052099023,0
"0","1","0","1","0",-5.64462015721018,1
"0","0","1","1","1",10.7105283571118,1
"0","1","1","0","1",-6.70503857832959,0
"1","1","1","1","0",9.30019890398616,0
"1","0","0","1","0",16.374750299722,0
"1","0","0","1","0",14.5097343020774,0
"0","1","0","0","1",-5.883228953424,1
"0","1","0","1","0",-2.35490974283391,1
"0","0","1","0","0",9.90727751867841,1
"1","0","0","1","0",14.915175654603,0
"0","0","0","1","0",4.21245613121254,1
"1","0","1","1","1",22.6272007015783,0
"0","0","1","1","0",9.22132043936656,1
"0","0","1","0","1",4.33966785862529,0
"0","1","0","1","0",-5.75311957825215,1
"0","1","0","1","1",-5.60079763766046,1
"1","1","0","0","1",6.51218875456092,0
"0","1","0","1","0",-3.73579865185856,1
"1","1","1","0","1",8.11360507604607,0
"1","1","0","1","0",9.11537370418125,1
"1","1","0","1","0",10.982541377174,1
"1","1","1","0","1",13.6837218577787,1
"0","0","1","1","1",2.98688520058686,0
"0","0","1","0","0",7.74607979472747,1
"1","1","0","1","1",4.89639064378921,0
"0","1","0","1","0",-10.2804826973923,0
"0","0","0","0","0",0.286494214798695,0
"1","0","0","1","1",19.5590595042748,1
"1","1","0","1","0",10.5644735019284,1
"0","0","1","0","1",5.48517388712998,0
"0","0","1","0","1",3.75583656750754,0
"0","0","0","1","0",1.68106870205698,0
"1","0","0","1","1",18.1413153538637,0
"1","1","1","0","0",14.52446234159,1
"1","1","1","0","1",15.2768576029187,1
"0","1","0","0","1",-7.1654464311476,1
"1","1","0","0","0",7.50378454443243,1
"1","1","0","0","0",9.91911890005293,1
"1","0","1","1","1",19.082291142285,0
"1","1","0","1","0",4.30254714587896,0
"0","1","1","1","1",0.863345800878268,1
"0","1","0","1","0",-10.9024194093693,0
"0","0","0","1","1",-0.200845682826023,0
"0","0","1","0","1",3.04843398992936,0
"0","0","0","1","0",4.93115637985811,1
"0","1","0","0","1",-4.49854036680088,1
"1","0","0","0","0",20.4731371086225,1
"0","0","0","0","0",3.89784455336053,1
"1","1","1","0","1",17.4043526211769,1
"1","1","1","1","1",17.0564890053135,1
"1","1","1","0","1",15.6939848437723,1
"1","1","1","0","1",9.1512856720413,0
"0","1","1","1","1",-5.06874182018646,0
"1","0","1","1","1",28.3270390887968,1
"1","1","1","0","1",9.97706450289722,0
"0","0","0","1","1",4.84751075399338,1
"0","1","0","0","0",-4.81863040169873,1
"1","0","0","0","0",17.6930409126978,1
"1","1","0","0","1",6.12608502060835,0
"0","1","1","0","0",-1.19644389175462,1
"0","0","1","1","1",9.27338437647613,1
"1","1","1","1","1",8.44924071562242,0
"0","1","0","1","1",-7.00977424065293,1
"1","1","0","1","0",8.75902314337683,1
"0","0","1","0","0",10.3858447905772,1
"0","1","0","0","0",-5.01018508281297,1
"0","0","0","1","0",5.00659772082289,1
"1","0","1","1","0",18.9044627941762,0
"1","0","1","0","1",19.4302307280754,0
"1","0","0","1","0",15.4727872355744,0
"0","0","1","1","0",11.5406020947642,1
"0","1","0","0","1",-5.49881556206854,1
"1","0","1","1","1",25.063771557589,1
"0","0","0","0","0",-1.57102564233429,0
"1","1","1","1","0",15.3083134453914,1
"1","0","1","1","1",20.3609136323325,0
"0","0","0","1","1",4.40613715670254,1
"0","0","0","0","0",0.976040095249517,0
"0","1","0","1","0",-9.40247989058532,0
"1","0","1","1","0",23.6572786375358,1
"1","0","0","0","0",15.9315875504955,0
"0","0","0","0","1",3.51394229035105,1
"0","1","0","0","1",-11.1958377927043,0
"1","1","1","1","0",15.6210213860444,1
"1","1","0","1","1",5.76543656106282,0
"1","1","0","1","1",4.38819631995391,0
"0","1","1","0","0",1.79870033900834,1
"0","1","0","0","0",-9.24618037713033,0
"0","1","0","0","0",-3.27749458445867,1
"1","1","1","0","0",9.56120236578625,0
"1","0","0","1","0",19.0875236016299,1
"0","0","0","0","0",-0.0229546947505422,0
"0","1","0","0","0",-10.0538716721846,0
"0","0","1","1","1",5.58064224193365,0
"1","1","0","1","0",9.97492764595538,1
"1","0","0","1","0",19.7122403307078,1
"0","0","1","0","0",5.29556833058933,0
"1","0","1","0","1",19.4768364162069,0
"1","1","1","0","0",14.7939139110916,1
"1","1","0","1","1",9.28816007509927,1
"0","1","0","0","1",-9.73974276619203,0
"1","0","1","1","1",26.1734774555994,1
"0","1","1","1","1",-0.300903762440922,1
"0","1","0","0","0",-3.50352793520594,1
"1","1","1","1","1",11.2978598411723,0
"1","0","0","1","1",13.1671589064628,0
"0","0","0","0","0",-1.88025901777797,0
"1","1","0","1","0",4.73520242423154,0
"0","0","1","1","0",8.69205243834936,1
"1","0","0","1","1",13.5887237693321,0
"0","0","0","0","1",7.05582176732205,1
"1","0","1","0","1",20.029909491277,0
"1","0","1","0","0",24.5781360621928,1
"0","0","0","0","1",-0.435003587274644,0
"0","0","0","0","0",0.987267862676959,0
"1","1","1","1","1",10.8261359077488,0
"0","0","1","1","0",10.2987083467621,1
"0","1","0","1","0",-5.36004251851677,1
"1","0","1","1","1",26.1266839157298,1
"0","1","1","1","1",0.087195281504008,1
"1","1","0","0","1",9.93137558960236,1
"1","1","1","0","0",11.2535855626538,0
"0","0","1","1","0",4.20737130947409,0
"0","1","1","1","1",-4.658099080763,0
"1","0","0","0","1",17.4024186777577,1
"0","1","1","0","0",0.231804640328352,1
"0","1","0","1","0",-10.5987397013787,0
"1","1","1","0","0",12.4917207042693,0
"0","0","0","0","0",-2.199237059557,0
"1","1","0","1","1",6.44668255850921,0
"1","0","1","1","0",23.4684023906116,1
"0","1","0","1","0",-5.67131380757235,1
"1","0","1","0","1",24.5189165118609,1
"1","1","1","0","0",9.21142239870511,0
"0","0","0","0","0",4.95877758251604,1
"0","1","1","1","0",-6.20427221966668,0
"0","1","0","0","0",-6.06158025572837,1
"1","0","0","0","0",19.2351111008816,1
"0","0","1","1","1",4.65151646732497,0
"1","0","1","1","1",25.110581744018,1
"1","1","1","0","0",15.0977413804698,1
"0","1","0","0","1",-4.04087098195345,1
"0","1","1","1","0",1.2476731752343,1
"1","1","1","1","1",9.67962831182449,0
"0","0","1","1","1",9.12929833568664,1
"1","1","0","1","1",3.50569777238196,0
"1","0","0","0","0",14.0260915948103,0
"0","1","1","1","1",-0.198763674085102,1
"1","0","0","0","0",14.7523121469798,0
"1","0","1","1","1",19.5470813071086,0
"1","0","0","0","0",15.6371682958826,0
"0","1","1","0","1",-0.749933754884672,1
"0","1","0","0","0",-4.09888057704536,1
"1","0","1","1","0",19.6955673007942,0
"1","0","1","0","0",19.072604753955,0
"1","0","1","0","1",26.041811844283,1
"1","0","1","1","0",20.0748126241042,0
"0","0","1","0","0",3.93790400315132,0
"0","0","0","1","1",-1.46861206818428,0
"0","0","1","1","1",9.45389386365437,1
"0","0","0","1","1",4.76307278471542,1
"0","0","0","1","1",-0.85203744426258,0
"1","1","1","1","0",16.1979392294458,1
