"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","outcome","treated"
"1","0","1","0","1","0","1","0","1","1","1","0","1","1","0","1","1","1","0","1","0","1","0","1","1","0","1","0","1","0","0","1","1","1","1","1","1","0","0","0","1","1","1","1","1","0","0","1","0","0",24.8561546137188,1
"1","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","1","1","0","0","0","1","0","1","0","0","1","1","1","0","1","0","0","0","1","0","0","1","0","0","1","1","1","1","1","0","1","0","0","1",16.4223153196779,0
"0","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","0","0","0","1","0","0","1","1","0","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0","1","1","0","0","1","1","0","0",3.30400929039747,1
"1","1","0","1","1","0","1","1","0","0","0","1","1","1","0","0","1","0","0","0","1","0","0","0","1","0","1","1","0","1","0","1","1","0","0","0","1","1","1","0","0","1","0","1","0","1","1","0","1","0",5.08370339849049,0
"1","1","0","0","0","1","0","0","0","1","1","0","1","1","1","1","0","1","0","0","1","1","1","1","0","1","0","0","0","0","0","1","1","0","0","1","1","1","0","0","1","1","0","0","0","0","0","1","0","0",4.82312327061432,0
"0","1","1","1","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","1","1","1","0","1","0","0","1","1","1","0","0","0","0","1","0","1","1","1","0","1","1","1","1","1","0","1","0","1","0",-1.16330842644563,1
"0","1","0","0","1","1","0","0","1","1","1","1","0","1","0","1","1","0","0","0","1","0","0","0","1","0","0","1","0","1","0","1","1","0","1","0","0","1","1","1","0","1","0","0","1","1","0","0","1","1",-9.27573701585568,0
"1","1","0","0","1","1","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","0","1","0","0","0","1","0","0","1","0","0","1","1","0","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0",6.70778545449469,0
"1","0","0","0","1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","1","1","1","0","0","1","0","0","1","0","0","1","1","0","1","1","1","1","1","1","0","0","1","0","0","1","1","1","1","0","0",20.1397432605157,1
"0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","1","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","1","1","0","1","1","1","1","1","1","0","0","0","0","1","1",-10.7213689623248,0
"0","0","0","0","1","0","1","1","0","0","1","1","1","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","1","1","1","0","1","0","0","0",-0.506058005159054,0
"1","0","0","1","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","1","1","0","1","1","1","0","1","1","0","0","1","0","0","1","1","1","0","0","0","0","1","1","1","1","0","1","0","0","0","0",20.5250428725096,1
"1","0","0","0","0","1","1","0","0","1","1","1","0","0","1","0","1","1","1","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","1","0",15.3237462215063,0
"0","1","1","0","1","0","1","1","0","1","1","1","1","1","0","1","0","0","0","0","0","1","1","0","1","1","0","0","1","1","0","1","0","1","0","0","0","1","0","1","0","0","1","1","0","0","1","1","0","1",0.216567066591251,1
"0","1","0","0","0","0","0","1","0","1","1","1","1","0","1","0","1","0","0","0","1","1","0","0","1","1","1","0","1","1","0","0","0","0","0","1","1","1","0","0","1","1","1","0","0","1","0","0","0","1",-4.17022507088946,1
"1","1","0","0","0","1","1","0","1","1","1","1","1","1","0","1","0","0","1","0","1","0","1","1","1","1","0","1","1","0","0","0","0","1","1","0","1","0","1","1","0","0","0","1","0","0","1","0","1","0",10.0982832460647,1
"0","1","0","1","1","1","0","1","1","1","0","1","1","1","1","0","1","0","0","0","1","1","1","0","1","1","1","1","1","0","1","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",-5.50020628587228,1
"0","0","0","1","0","1","1","0","1","1","0","0","0","1","0","1","0","1","1","1","1","1","1","0","1","1","1","1","1","0","0","0","1","1","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","0",1.33768496961094,1
"0","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","0","1","0","1","0","0","1","0","0","1","1","1","0","0","1","1","1","1","0","1","0","1","1","0","0","1","1","1","0","1","1","0","1","1",5.58451427910651,0
"1","1","0","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","1","0","1","0","1","0","1","1","0","0","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1",8.34232314933599,1
"0","0","0","1","1","1","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","1","0","1","1","1","1","1","0","1","1","1","0","0","1","1","1","1","0","1","1","0","0","0","0","0","0",4.35417651668194,1
"0","1","1","1","1","0","0","1","1","1","0","0","0","1","1","0","1","1","0","1","0","0","1","0","0","0","0","1","1","1","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1",-0.683940481342167,1
"1","1","0","1","1","1","0","0","0","0","1","0","1","0","0","1","1","1","0","0","0","0","0","0","1","1","1","1","1","0","1","0","0","0","0","1","0","1","1","0","0","1","0","1","1","1","0","1","1","1",10.4863533867564,1
"1","1","0","0","1","1","0","0","1","1","0","1","1","0","0","1","1","1","0","0","1","1","1","0","0","1","0","0","0","1","0","1","0","1","0","1","0","1","1","1","1","0","1","1","0","0","0","1","0","1",7.96753857950222,1
"0","0","1","1","0","0","0","1","0","0","0","0","0","1","0","1","1","0","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","1","0","1","0","1","0","1","1","0","1","0","0","1","1","1","0",11.9662895034508,1
"0","0","1","1","1","0","1","1","1","1","1","0","0","1","1","0","1","0","0","1","1","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","1","0","1","1","1","1","1","1",9.81299268874099,1
"1","1","1","0","1","1","1","1","1","0","0","0","0","0","1","0","0","0","1","0","1","1","1","1","0","0","0","0","0","0","1","1","1","1","0","0","1","1","1","0","1","0","0","1","1","1","1","1","0","1",7.23198991891161,0
"0","0","0","1","0","0","1","1","0","0","0","1","0","1","0","0","0","1","0","1","1","0","1","1","1","1","1","1","0","0","0","0","1","1","0","1","1","0","0","0","1","0","1","0","0","0","1","1","0","1",0.583366503023033,0
"0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","1","0","1","1","0","0","1","1","0","0","1","0","0","0","1","1","1","1","0","0","1","1","1","1","0","1","1","1","1","0","1","0",11.1858238578806,1
"0","1","0","1","1","1","0","0","1","0","0","0","0","0","1","0","1","1","0","0","1","0","1","0","1","1","0","1","1","0","0","0","1","0","0","0","0","1","1","0","0","1","1","0","1","0","0","0","0","1",-4.20899326033384,1
"0","0","0","1","0","1","0","1","1","1","0","0","1","0","1","1","0","0","0","1","0","1","0","0","1","0","1","1","1","0","0","0","1","0","1","1","1","1","1","1","0","1","0","1","1","1","0","1","1","1",0.240294001965298,0
"0","1","0","1","1","0","1","0","0","0","0","1","1","0","1","1","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1","1","0","1","1","1","1","1","0","0","1","1","1","1","0","0","0","1",-5.23515607853606,1
"0","0","1","1","1","1","1","1","1","1","1","0","1","0","0","1","0","0","0","1","0","1","0","1","0","0","1","1","1","0","0","1","0","1","1","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0",7.4542307012052,1
"1","0","1","0","1","1","1","0","0","1","1","0","1","1","0","0","0","1","0","0","1","0","1","0","1","0","1","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","1","0",19.3253696744487,0
"0","0","0","1","1","0","1","1","1","1","1","0","0","1","0","0","0","1","1","0","0","0","1","0","1","1","1","1","0","0","0","1","0","1","1","1","1","0","0","0","1","1","1","0","1","0","1","0","1","0",4.29592160467351,1
"1","0","1","1","1","0","0","0","0","1","1","1","1","0","1","0","0","1","1","0","0","0","0","1","0","1","0","0","1","0","0","1","0","0","1","1","1","1","1","0","0","1","1","1","0","0","0","1","1","0",22.4559162964727,0
"1","0","1","0","0","1","1","1","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","0","1","0","0","1","1","1","0","0","0","1","1","1","1","0","0","1","0","1","1","0","0","1",19.3213716021015,0
"1","0","0","0","0","1","0","1","1","1","0","1","0","1","1","1","0","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","0","0","1","1","1","1","0","1","1","0","1","1","0","1","0","0","1","1",12.5803362894623,0
"1","0","1","0","1","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","0","1","1","0","1","1","1","0","0","0","1","0","1","0","1","0","0","0","1","0","0",26.3309314415328,1
"1","1","1","1","0","1","1","1","0","0","0","1","1","0","0","0","1","1","1","0","0","1","0","1","1","1","1","1","0","1","0","1","0","0","0","1","0","1","0","1","0","1","0","1","1","0","1","1","0","1",14.8082424247625,1
"1","1","0","0","1","0","1","0","0","1","1","1","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","1","1","1","0","0","1","1","0","1","0","1","0","1","0","1","0","1","0","0","1","0","1",5.55396949018996,0
"1","1","0","0","1","0","1","0","0","1","0","1","1","1","1","0","1","0","0","0","0","0","1","1","1","0","1","0","1","1","1","1","1","0","0","1","1","1","1","0","0","1","1","0","1","1","0","0","1","1",5.9236437146553,0
"0","0","0","0","1","0","1","1","0","1","0","0","1","1","0","0","0","0","1","0","1","0","1","0","0","0","1","1","0","1","0","1","1","0","0","0","1","1","1","1","0","0","0","1","0","0","1","0","1","1",3.7967482364622,1
"0","0","1","0","1","1","0","0","1","1","0","0","0","1","1","1","1","1","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","1","0",6.28750396871782,0
"0","0","1","1","0","1","1","1","0","0","1","1","1","1","0","1","1","0","1","0","1","0","1","1","1","0","1","0","1","0","0","1","0","1","0","0","1","0","1","0","1","1","0","0","0","1","1","1","1","1",7.91933529518003,1
"1","0","0","0","0","1","0","1","0","1","0","1","0","0","1","0","1","1","1","1","0","1","1","0","0","0","0","0","1","1","1","1","1","0","1","0","1","0","1","0","0","0","0","0","1","0","0","1","1","1",14.9774300262206,0
"1","0","0","0","1","1","1","0","1","0","0","1","0","0","0","1","1","1","0","1","0","0","1","1","0","1","0","0","1","1","0","1","0","0","0","1","1","1","1","0","0","1","1","0","0","0","1","1","0","1",15.1103918392974,0
"1","0","1","0","1","1","1","1","1","1","0","1","0","0","0","1","1","1","1","0","0","1","0","1","0","0","1","0","1","1","0","0","1","0","0","0","1","1","1","0","1","0","1","0","0","1","1","1","0","0",23.4992162330294,1
"0","1","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","1","1","0","1","0","1","0","1","1","0","1","1","0","0","1","1","0","1","0","1","0","1","0","1","1","0","0","1",0.256051487065617,1
"1","0","1","1","1","0","0","1","0","1","1","0","1","0","1","0","0","0","0","0","1","1","0","1","0","0","1","0","1","0","0","1","0","1","1","0","0","0","1","1","1","1","1","0","0","0","1","0","0","1",21.0037497526484,0
"0","1","0","1","1","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","1","0","1","1","0","0","1","1","1","1","0","0","1","1","0","0","0","0","0","1","0","1","0","1","1","1","0","0","1","1",-5.61905635049316,1
"1","0","0","1","0","1","1","1","1","0","1","1","1","0","1","1","0","0","1","0","1","1","1","0","1","0","1","1","0","1","1","0","0","1","0","1","0","1","0","1","0","1","0","1","1","0","0","0","0","1",15.0063082807948,0
"1","0","1","1","0","0","0","1","1","0","0","1","0","1","0","0","1","1","1","1","1","0","0","1","0","1","0","0","0","0","0","1","1","0","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1",25.5517896016756,1
"0","0","0","0","1","1","1","1","1","1","1","0","1","1","0","1","0","1","1","1","0","0","0","0","1","0","0","1","1","0","1","1","0","0","0","1","0","0","0","1","0","1","0","1","0","1","1","1","1","0",5.12140073516083,1
"0","1","1","1","1","1","0","1","1","1","0","1","0","0","1","1","1","1","0","0","1","1","1","1","0","0","0","1","1","0","1","0","0","1","1","1","1","0","1","1","0","1","0","1","0","0","1","1","0","0",0.792078565586758,1
"0","1","1","1","0","0","0","0","1","0","1","1","1","0","0","1","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","1","1","1","1","1","0","1","1","0","1","0","1","1","1","1","1","0","1",-1.65990372383513,1
"0","0","1","0","1","1","1","1","0","1","0","0","0","1","0","0","1","1","1","1","0","0","0","0","1","0","0","0","1","1","1","1","1","1","1","0","1","1","1","0","1","0","1","0","1","0","1","0","1","1",5.22293840607927,0
"0","1","0","0","1","1","0","1","1","1","1","1","1","1","0","0","0","0","0","1","0","1","0","1","1","1","0","0","1","1","0","0","0","1","1","0","0","1","0","1","1","0","1","0","0","1","1","1","0","1",-9.93818872862691,0
"1","1","0","0","0","1","0","0","1","0","0","0","0","1","1","1","0","0","0","1","1","0","1","1","1","0","0","1","0","0","0","0","0","1","1","0","1","0","0","1","1","1","0","1","0","0","0","0","0","1",5.0754617028028,0
"0","0","0","1","1","0","1","0","1","1","1","0","1","0","1","1","0","0","0","1","0","0","0","1","0","1","1","1","1","0","1","0","1","0","0","0","0","1","1","0","1","1","0","0","1","0","0","0","1","1",-0.660166715775625,0
"1","1","1","1","0","0","0","1","0","1","0","1","0","0","1","1","1","1","0","1","1","1","0","0","0","1","0","0","0","1","1","0","1","1","0","1","1","0","0","0","0","0","1","0","1","1","1","0","1","0",14.9384516720957,1
"1","1","0","1","1","0","1","1","1","0","0","1","1","1","1","1","1","0","0","0","1","0","1","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","1","0","0",9.19735549338575,1
"0","0","0","1","0","1","0","1","1","0","1","1","1","0","0","1","1","0","0","0","1","1","1","0","0","1","0","0","0","0","1","1","0","1","0","1","1","1","1","0","1","1","1","1","0","0","0","0","0","1",4.68268032523972,1
"0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","1","1","0","0","1","0","0","1","0","1","1","1","0","1","0","1","1","0","1","1","1","0","1","1","1","0","1","1","1","0","0","1","0","1","0",1.1476765403958,0
"0","0","1","1","0","1","0","0","0","1","1","0","1","0","0","1","1","0","0","1","1","1","0","1","0","1","0","1","0","1","1","1","1","0","0","0","0","1","0","1","1","0","0","0","1","0","1","0","0","1",4.56345326750481,0
"1","1","0","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","1","0","1","1","0","0","0","1","0","1","0","0","1","0","1","1","0","1","0","1","1","1","1","1","0","1","0","1","0","1","1","0",4.07432798868798,0
"0","0","0","0","0","1","1","1","0","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","1","0","0","1","1","0","1","1","0","0","0","0","1","1","1","0","1","1","1",-0.84815419427434,0
"0","1","0","0","0","0","0","1","1","1","1","1","1","1","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","1","1","1","1","0","1","1","1","0",-10.3873997440907,0
"1","1","1","0","1","1","1","1","1","0","0","1","1","1","1","0","1","1","0","0","0","1","1","1","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","1","0","0","1","1","1","1","1","0","1","1",15.1689739147881,1
"1","1","0","0","1","0","0","0","1","1","0","1","0","0","1","0","1","1","0","1","1","0","1","1","0","0","0","0","0","0","1","0","0","1","0","1","1","0","0","1","1","1","0","1","1","0","1","0","0","0",10.5849268642182,1
"1","1","0","1","1","1","1","0","0","1","0","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1",9.93251778194811,1
"1","1","1","1","0","1","0","1","0","1","0","0","1","1","0","1","0","1","1","1","0","0","0","0","1","1","0","1","0","0","1","1","0","0","1","1","1","1","1","1","0","1","1","1","0","0","1","0","1","0",14.2075612940897,1
"0","1","1","1","1","0","0","0","0","0","1","1","0","1","0","1","0","0","1","1","0","1","0","1","1","0","0","1","1","1","0","0","1","0","0","1","0","0","0","1","1","0","0","0","1","1","1","0","0","1",-5.07410184537194,0
"1","0","1","0","0","0","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","0","1","1","1","1","1","0","1","0","1","0","1","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0",20.3118344447159,0
"0","1","0","1","0","0","0","1","0","1","1","1","0","1","1","1","0","1","0","1","0","0","1","0","0","1","0","1","0","0","1","1","0","0","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","1",-9.18100541994996,0
"0","1","0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","1","1","1","0","1","1","0","1","0","0","0","1","1","0","0","1","0","1","1","1","0","1","0","1","1","0",-8.56401287561462,0
"0","1","0","1","1","0","1","1","1","1","1","1","1","0","1","0","0","1","0","1","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","1","1","1","1","0","1","1",-9.52560179591294,0
"0","0","0","1","0","0","1","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","1","1","0","1","1","0","1","1","0","0","0","1","1","0","0","1","0","1","1","1","1","1",7.66052110308276,1
"1","0","1","1","0","1","1","0","1","0","1","0","0","0","0","1","1","0","1","1","1","0","0","1","0","0","1","1","0","1","1","1","0","1","0","1","0","1","1","0","0","0","1","0","0","0","0","1","0","0",20.7953291076147,0
"1","1","0","1","0","0","1","1","1","0","0","0","1","1","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","1","1","0","0","1","0","1","1","0","0","0","1","1","0","0","0","1","0","0","1",4.97917012356764,0
"0","1","1","0","1","0","1","0","1","1","1","1","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1","0","1","1","1","1","0","1","1","0","1","1","1",-5.59266022391039,0
"0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","1","0","0","1","1","0","1","0","1","1","0","0","1","1","1","1","0","0","1","1","1","0","1","0","0","0","1","1","1","0",11.7162839556408,1
"1","0","1","0","1","1","1","0","0","0","0","1","0","0","1","1","0","1","0","1","1","1","1","0","1","0","0","0","0","1","1","1","0","0","1","0","0","1","0","0","0","0","1","0","0","1","0","0","1","0",24.1974338115631,1
"1","0","1","0","0","1","0","0","1","0","1","1","1","1","0","1","0","0","0","1","0","0","1","1","1","1","0","1","0","0","1","0","0","0","0","0","1","0","1","1","0","1","1","0","0","1","1","0","1","1",25.5603578841036,1
"0","1","1","0","1","1","0","1","1","0","1","0","1","1","1","1","0","1","0","1","0","0","0","0","1","0","1","1","1","1","1","0","1","1","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","1",-5.02605319162442,0
"1","0","0","1","1","1","1","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","1","0","0","1","1","1","0","1","1","0","0","0","1",14.1387001799626,0
